Match ID,TeamA_id,TeamB_id,Score_A,Score_B,Wining_Team
1,2,9,282,283,9
2,5,10,286,205,5
3,7,6,156,158,6
4,4,8,428,326,4
5,3,1,199,201,1
6,9,10,322,223,9
7,2,6,364,227,2
8,8,5,344,345,5
9,7,1,272,273,1
10,4,3,311,177,4
11,6,9,245,248,9
12,5,1,191,192,1
13,7,2,284,215,7
14,8,3,209,215,3
15,10,4,245,207,10
16,9,7,288,139,9
17,6,1,256,261,1
18,3,5,367,305,3
19,10,8,262,263,8
20,4,2,399,170,4
21,9,1,273,274,1
22,5,7,282,286,7
23,4,6,382,233,4
24,3,10,399,90,3
25,2,8,156,160,8
26,5,4,270,271,4
27,3,9,388,383,3
28,10,6,142,229,10
29,1,2,229,129,1
30,8,7,241,242,7
31,6,5,205,204,5
32,4,9,357,167,4
33,1,8,357,55,1
34,10,7,181,179,7
35,9,5,401,200,5
36,3,2,286,253,3
37,1,4,326,83,1
38,8,6,279,282,6
39,3,7,293,291,3
40,2,10,179,339,2
41,9,8,171,172,9
42,7,4,244,247,4
43,3,6,306,307,3
44,2,5,244,337,2
45,1,10,410,250,1
46,1,9,397,327,1
47,3,4,215,212,3
48,1,3,240,241,3
