Match ID,TeamA_id,TeamB_id,Score_A,Score_B,Wining_Team
1,2,9,282,283,9
2,5,10,286,205,5
3,7,6,156,158,6
4,4,8,428,326,4
5,3,1,199,201,1
6,9,10,322,223,9
7,2,6,364,227,2
8,8,5,344,345,5
9,7,1,272,273,1
10,4,3,311,177,4
11,6,9,245,248,9
12,5,1,191,192,1
13,7,2,284,215,7
14,8,3,209,215,3
15,10,4,245,207,10
16,9,7,288,139,9
17,6,1,256,261,1
18,3,5,367,305,3
19,10,8,262,263,8
20,4,2,399,170,4
21,9,1,273,274,1
22,5,7,282,286,7
23,4,6,382,233,4
24,3,10,399,90,3
25,2,8,156,160,8
26,5,4,270,271,4
27,3,9,388,383,3
28,10,6,142,229,10
29,1,2,229,129,1
30,8,7,241,242,7
31,6,5,205,204,5
32,4,9,357,167,4
33,1,8,357,55,1
34,10,7,181,179,7
35,9,5,401,200,5
36,3,2,286,253,3
37,1,4,326,83,1
38,8,6,279,282,6
39,3,7,293,291,3
40,2,10,179,339,2
41,9,8,171,172,9
42,7,4,244,247,4
43,3,6,306,307,3
44,2,5,244,337,2
45,1,10,410,250,1
46,1,9,397,327,1
47,3,4,215,212,3
48,1,3,240,241,3
49,2,9,282,283,9
50,5,10,286,205,5
51,7,6,156,158,6
52,4,8,428,326,4
53,3,1,199,201,1
54,9,10,322,223,9
55,2,6,364,227,2
56,8,5,344,345,5
57,7,1,272,273,1
58,4,3,311,177,4
59,6,9,245,248,9
60,5,1,191,192,1
61,7,2,284,215,7
62,8,3,209,215,3
63,10,4,245,207,10
64,9,7,288,139,9
65,6,1,256,261,1
66,3,5,367,305,3
67,10,8,262,263,8
68,4,2,399,170,4
69,9,1,273,274,1
70,5,7,282,286,7
71,4,6,382,233,4
72,3,10,399,90,3
73,2,8,156,160,8
74,5,4,270,271,4
75,3,9,388,383,3
76,10,6,142,229,10
77,1,2,229,129,1
78,8,7,241,242,7
79,6,5,205,204,5
80,4,9,357,167,4
81,1,8,357,55,1
82,10,7,181,179,7
83,9,5,401,200,5
84,3,2,286,253,3
85,1,4,326,83,1
86,8,6,279,282,6
87,3,7,293,291,3
88,2,10,179,339,2
89,9,8,171,172,9
90,7,4,244,247,4
91,3,6,306,307,3
92,2,5,244,337,2
93,1,10,410,250,1
94,1,9,397,327,1
95,3,4,215,212,3
96,1,3,240,241,3
97,2,9,282,283,9
98,5,10,286,205,5
99,7,6,156,158,6
100,4,8,428,326,4
101,3,1,199,201,1
102,9,10,322,223,9
103,2,6,364,227,2
104,8,5,344,345,5
105,7,1,272,273,1
106,4,3,311,177,4
107,6,9,245,248,9
108,5,1,191,192,1
109,7,2,284,215,7
110,8,3,209,215,3
111,10,4,245,207,10
112,9,7,288,139,9
113,6,1,256,261,1
114,3,5,367,305,3
115,10,8,262,263,8
116,4,2,399,170,4
117,9,1,273,274,1
118,5,7,282,286,7
119,4,6,382,233,4
120,3,10,399,90,3
121,2,8,156,160,8
122,5,4,270,271,4
123,3,9,388,383,3
124,10,6,142,229,10
125,1,2,229,129,1
126,8,7,241,242,7
127,6,5,205,204,5
128,4,9,357,167,4
129,1,8,357,55,1
130,10,7,181,179,7
131,9,5,401,200,5
132,3,2,286,253,3
133,1,4,326,83,1
134,8,6,279,282,6
135,3,7,293,291,3
136,2,10,179,339,2
137,9,8,171,172,9
138,7,4,244,247,4
139,3,6,306,307,3
140,2,5,244,337,2
141,1,10,410,250,1
142,1,9,397,327,1
143,3,4,215,212,3
144,1,3,240,241,3
145,2,9,282,283,9
146,5,10,286,205,5
147,7,6,156,158,6
148,4,8,428,326,4
149,3,1,199,201,1
150,9,10,322,223,9
151,2,6,364,227,2
152,8,5,344,345,5
153,7,1,272,273,1
154,4,3,311,177,4
155,6,9,245,248,9
156,5,1,191,192,1
157,7,2,284,215,7
158,8,3,209,215,3
159,10,4,245,207,10
160,9,7,288,139,9
161,6,1,256,261,1
162,3,5,367,305,3
163,10,8,262,263,8
164,4,2,399,170,4
165,9,1,273,274,1
166,5,7,282,286,7
167,4,6,382,233,4
168,3,10,399,90,3
169,2,8,156,160,8
170,5,4,270,271,4
171,3,9,388,383,3
172,10,6,142,229,10
173,1,2,229,129,1
174,8,7,241,242,7
175,6,5,205,204,5
176,4,9,357,167,4
177,1,8,357,55,1
178,10,7,181,179,7
179,9,5,401,200,5
180,3,2,286,253,3
181,1,4,326,83,1
182,8,6,279,282,6
183,3,7,293,291,3
184,2,10,179,339,2
185,9,8,171,172,9
186,7,4,244,247,4
187,3,6,306,307,3
188,2,5,244,337,2
189,1,10,410,250,1
190,1,9,397,327,1
191,3,4,215,212,3
192,1,3,240,241,3
193,2,9,282,283,9
194,5,10,286,205,5
195,7,6,156,158,6
196,4,8,428,326,4
197,3,1,199,201,1
198,9,10,322,223,9
199,2,6,364,227,2
200,8,5,344,345,5
201,7,1,272,273,1
202,4,3,311,177,4
203,6,9,245,248,9
204,5,1,191,192,1
205,7,2,284,215,7
206,8,3,209,215,3
207,10,4,245,207,10
208,9,7,288,139,9
209,6,1,256,261,1
210,3,5,367,305,3
211,10,8,262,263,8
212,4,2,399,170,4
213,9,1,273,274,1
214,5,7,282,286,7
215,4,6,382,233,4
216,3,10,399,90,3
217,2,8,156,160,8
218,5,4,270,271,4
219,3,9,388,383,3
220,10,6,142,229,10
221,1,2,229,129,1
222,8,7,241,242,7
223,6,5,205,204,5
224,4,9,357,167,4
225,1,8,357,55,1
226,10,7,181,179,7
227,9,5,401,200,5
228,3,2,286,253,3
229,1,4,326,83,1
230,8,6,279,282,6
231,3,7,293,291,3
232,2,10,179,339,2
233,9,8,171,172,9
234,7,4,244,247,4
235,3,6,306,307,3
236,2,5,244,337,2
237,1,10,410,250,1
238,1,9,397,327,1
239,3,4,215,212,3
240,1,3,240,241,3
241,2,9,282,283,9
242,5,10,286,205,5
243,7,6,156,158,6
244,4,8,428,326,4
245,3,1,199,201,1
246,9,10,322,223,9
247,2,6,364,227,2
248,8,5,344,345,5
249,7,1,272,273,1
250,4,3,311,177,4
251,6,9,245,248,9
252,5,1,191,192,1
253,7,2,284,215,7
254,8,3,209,215,3
255,10,4,245,207,10
256,9,7,288,139,9
257,6,1,256,261,1
258,3,5,367,305,3
259,10,8,262,263,8
260,4,2,399,170,4
261,9,1,273,274,1
262,5,7,282,286,7
263,4,6,382,233,4
264,3,10,399,90,3
265,2,8,156,160,8
266,5,4,270,271,4
267,3,9,388,383,3
268,10,6,142,229,10
269,1,2,229,129,1
270,8,7,241,242,7
271,6,5,205,204,5
272,4,9,357,167,4
273,1,8,357,55,1
274,10,7,181,179,7
275,9,5,401,200,5
276,3,2,286,253,3
277,1,4,326,83,1
278,8,6,279,282,6
279,3,7,293,291,3
280,2,10,179,339,2
281,9,8,171,172,9
282,7,4,244,247,4
283,3,6,306,307,3
284,2,5,244,337,2
285,1,10,410,250,1
286,1,9,397,327,1
287,3,4,215,212,3
288,1,3,240,241,3
289,2,9,282,283,9
290,5,10,286,205,5
291,7,6,156,158,6
292,4,8,428,326,4
293,3,1,199,201,1
294,9,10,322,223,9
295,2,6,364,227,2
296,8,5,344,345,5
297,7,1,272,273,1
298,4,3,311,177,4
299,6,9,245,248,9
300,5,1,191,192,1
301,7,2,284,215,7
302,8,3,209,215,3
303,10,4,245,207,10
304,9,7,288,139,9
305,6,1,256,261,1
306,3,5,367,305,3
307,10,8,262,263,8
308,4,2,399,170,4
309,9,1,273,274,1
310,5,7,282,286,7
311,4,6,382,233,4
312,3,10,399,90,3
313,2,8,156,160,8
314,5,4,270,271,4
315,3,9,388,383,3
316,10,6,142,229,10
317,1,2,229,129,1
318,8,7,241,242,7
319,6,5,205,204,5
320,4,9,357,167,4
321,1,8,357,55,1
322,10,7,181,179,7
323,9,5,401,200,5
324,3,2,286,253,3
325,1,4,326,83,1
326,8,6,279,282,6
327,3,7,293,291,3
328,2,10,179,339,2
329,9,8,171,172,9
330,7,4,244,247,4
331,3,6,306,307,3
332,2,5,244,337,2
333,1,10,410,250,1
334,1,9,397,327,1
335,3,4,215,212,3
336,1,3,240,241,3
337,2,9,282,283,9
338,5,10,286,205,5
339,7,6,156,158,6
340,4,8,428,326,4
341,3,1,199,201,1
342,9,10,322,223,9
343,2,6,364,227,2
344,8,5,344,345,5
345,7,1,272,273,1
346,4,3,311,177,4
347,6,9,245,248,9
348,5,1,191,192,1
349,7,2,284,215,7
350,8,3,209,215,3
351,10,4,245,207,10
352,9,7,288,139,9
353,6,1,256,261,1
354,3,5,367,305,3
355,10,8,262,263,8
356,4,2,399,170,4
357,9,1,273,274,1
358,5,7,282,286,7
359,4,6,382,233,4
360,3,10,399,90,3
361,2,8,156,160,8
362,5,4,270,271,4
363,3,9,388,383,3
364,10,6,142,229,10
365,1,2,229,129,1
366,8,7,241,242,7
367,6,5,205,204,5
368,4,9,357,167,4
369,1,8,357,55,1
370,10,7,181,179,7
371,9,5,401,200,5
372,3,2,286,253,3
373,1,4,326,83,1
374,8,6,279,282,6
375,3,7,293,291,3
376,2,10,179,339,2
377,9,8,171,172,9
378,7,4,244,247,4
379,3,6,306,307,3
380,2,5,244,337,2
381,1,10,410,250,1
382,1,9,397,327,1
383,3,4,215,212,3
384,1,3,240,241,3
385,2,9,282,283,9
386,5,10,286,205,5
387,7,6,156,158,6
388,4,8,428,326,4
389,3,1,199,201,1
390,9,10,322,223,9
391,2,6,364,227,2
392,8,5,344,345,5
393,7,1,272,273,1
394,4,3,311,177,4
395,6,9,245,248,9
396,5,1,191,192,1
397,7,2,284,215,7
398,8,3,209,215,3
399,10,4,245,207,10
400,9,7,288,139,9
401,6,1,256,261,1
402,3,5,367,305,3
403,10,8,262,263,8
404,4,2,399,170,4
405,9,1,273,274,1
406,5,7,282,286,7
407,4,6,382,233,4
408,3,10,399,90,3
409,2,8,156,160,8
410,5,4,270,271,4
411,3,9,388,383,3
412,10,6,142,229,10
413,1,2,229,129,1
414,8,7,241,242,7
415,6,5,205,204,5
416,4,9,357,167,4
417,1,8,357,55,1
418,10,7,181,179,7
419,9,5,401,200,5
420,3,2,286,253,3
421,1,4,326,83,1
422,8,6,279,282,6
423,3,7,293,291,3
424,2,10,179,339,2
425,9,8,171,172,9
426,7,4,244,247,4
427,3,6,306,307,3
428,2,5,244,337,2
429,1,10,410,250,1
430,1,9,397,327,1
431,3,4,215,212,3
432,1,3,240,241,3
433,2,9,282,283,9
434,5,10,286,205,5
435,7,6,156,158,6
436,4,8,428,326,4
437,3,1,199,201,1
438,9,10,322,223,9
439,2,6,364,227,2
440,8,5,344,345,5
441,7,1,272,273,1
442,4,3,311,177,4
443,6,9,245,248,9
444,5,1,191,192,1
445,7,2,284,215,7
446,8,3,209,215,3
447,10,4,245,207,10
448,9,7,288,139,9
449,6,1,256,261,1
450,3,5,367,305,3
451,10,8,262,263,8
452,4,2,399,170,4
453,9,1,273,274,1
454,5,7,282,286,7
455,4,6,382,233,4
456,3,10,399,90,3
457,2,8,156,160,8
458,5,4,270,271,4
459,3,9,388,383,3
460,10,6,142,229,10
461,1,2,229,129,1
462,8,7,241,242,7
463,6,5,205,204,5
464,4,9,357,167,4
465,1,8,357,55,1
466,10,7,181,179,7
467,9,5,401,200,5
468,3,2,286,253,3
469,1,4,326,83,1
470,8,6,279,282,6
471,3,7,293,291,3
472,2,10,179,339,2
473,9,8,171,172,9
474,7,4,244,247,4
475,3,6,306,307,3
476,2,5,244,337,2
477,1,10,410,250,1
478,1,9,397,327,1
479,3,4,215,212,3
480,1,3,240,241,3
481,2,9,282,283,9
482,5,10,286,205,5
483,7,6,156,158,6
484,4,8,428,326,4
485,3,1,199,201,1
486,9,10,322,223,9
487,2,6,364,227,2
488,8,5,344,345,5
489,7,1,272,273,1
490,4,3,311,177,4
491,6,9,245,248,9
492,5,1,191,192,1
493,7,2,284,215,7
494,8,3,209,215,3
495,10,4,245,207,10
496,9,7,288,139,9
497,6,1,256,261,1
498,3,5,367,305,3
499,10,8,262,263,8
500,4,2,399,170,4
501,9,1,273,274,1
502,5,7,282,286,7
503,4,6,382,233,4
504,3,10,399,90,3
505,2,8,156,160,8
506,5,4,270,271,4
507,3,9,388,383,3
508,10,6,142,229,10
509,1,2,229,129,1
510,8,7,241,242,7
511,6,5,205,204,5
512,4,9,357,167,4
513,1,8,357,55,1
514,10,7,181,179,7
515,9,5,401,200,5
516,3,2,286,253,3
517,1,4,326,83,1
518,8,6,279,282,6
519,3,7,293,291,3
520,2,10,179,339,2
521,9,8,171,172,9
522,7,4,244,247,4
523,3,6,306,307,3
524,2,5,244,337,2
525,1,10,410,250,1
526,1,9,397,327,1
527,3,4,215,212,3
528,1,3,240,241,3
529,2,9,282,283,9
530,5,10,286,205,5
531,7,6,156,158,6
532,4,8,428,326,4
533,3,1,199,201,1
534,9,10,322,223,9
535,2,6,364,227,2
536,8,5,344,345,5
537,7,1,272,273,1
538,4,3,311,177,4
539,6,9,245,248,9
540,5,1,191,192,1
541,7,2,284,215,7
542,8,3,209,215,3
543,10,4,245,207,10
544,9,7,288,139,9
545,6,1,256,261,1
546,3,5,367,305,3
547,10,8,262,263,8
548,4,2,399,170,4
549,9,1,273,274,1
550,5,7,282,286,7
551,4,6,382,233,4
552,3,10,399,90,3
553,2,8,156,160,8
554,5,4,270,271,4
555,3,9,388,383,3
556,10,6,142,229,10
557,1,2,229,129,1
558,8,7,241,242,7
559,6,5,205,204,5
560,4,9,357,167,4
561,1,8,357,55,1
562,10,7,181,179,7
563,9,5,401,200,5
564,3,2,286,253,3
565,1,4,326,83,1
566,8,6,279,282,6
567,3,7,293,291,3
568,2,10,179,339,2
569,9,8,171,172,9
570,7,4,244,247,4
571,3,6,306,307,3
572,2,5,244,337,2
573,1,10,410,250,1
574,1,9,397,327,1
575,3,4,215,212,3
576,1,3,240,241,3
577,2,9,282,283,9
578,5,10,286,205,5
579,7,6,156,158,6
580,4,8,428,326,4
581,3,1,199,201,1
582,9,10,322,223,9
583,2,6,364,227,2
584,8,5,344,345,5
585,7,1,272,273,1
586,4,3,311,177,4
587,6,9,245,248,9
588,5,1,191,192,1
589,7,2,284,215,7
590,8,3,209,215,3
591,10,4,245,207,10
592,9,7,288,139,9
593,6,1,256,261,1
594,3,5,367,305,3
595,10,8,262,263,8
596,4,2,399,170,4
597,9,1,273,274,1
598,5,7,282,286,7
599,4,6,382,233,4
600,3,10,399,90,3
601,2,8,156,160,8
602,5,4,270,271,4
603,3,9,388,383,3
604,10,6,142,229,10
605,1,2,229,129,1
606,8,7,241,242,7
607,6,5,205,204,5
608,4,9,357,167,4
609,1,8,357,55,1
610,10,7,181,179,7
611,9,5,401,200,5
612,3,2,286,253,3
613,1,4,326,83,1
614,8,6,279,282,6
615,3,7,293,291,3
616,2,10,179,339,2
617,9,8,171,172,9
618,7,4,244,247,4
619,3,6,306,307,3
620,2,5,244,337,2
621,1,10,410,250,1
622,1,9,397,327,1
623,3,4,215,212,3
624,1,3,240,241,3
625,2,9,282,283,9
626,5,10,286,205,5
627,7,6,156,158,6
628,4,8,428,326,4
629,3,1,199,201,1
630,9,10,322,223,9
631,2,6,364,227,2
632,8,5,344,345,5
633,7,1,272,273,1
634,4,3,311,177,4
635,6,9,245,248,9
636,5,1,191,192,1
637,7,2,284,215,7
638,8,3,209,215,3
639,10,4,245,207,10
640,9,7,288,139,9
641,6,1,256,261,1
642,3,5,367,305,3
643,10,8,262,263,8
644,4,2,399,170,4
645,9,1,273,274,1
646,5,7,282,286,7
647,4,6,382,233,4
648,3,10,399,90,3
649,2,8,156,160,8
650,5,4,270,271,4
651,3,9,388,383,3
652,10,6,142,229,10
653,1,2,229,129,1
654,8,7,241,242,7
655,6,5,205,204,5
656,4,9,357,167,4
657,1,8,357,55,1
658,10,7,181,179,7
659,9,5,401,200,5
660,3,2,286,253,3
661,1,4,326,83,1
662,8,6,279,282,6
663,3,7,293,291,3
664,2,10,179,339,2
665,9,8,171,172,9
666,7,4,244,247,4
667,3,6,306,307,3
668,2,5,244,337,2
669,1,10,410,250,1
670,1,9,397,327,1
671,3,4,215,212,3
672,1,3,240,241,3
673,2,9,282,283,9
674,5,10,286,205,5
675,7,6,156,158,6
676,4,8,428,326,4
677,3,1,199,201,1
678,9,10,322,223,9
679,2,6,364,227,2
680,8,5,344,345,5
681,7,1,272,273,1
682,4,3,311,177,4
683,6,9,245,248,9
684,5,1,191,192,1
685,7,2,284,215,7
686,8,3,209,215,3
687,10,4,245,207,10
688,9,7,288,139,9
689,6,1,256,261,1
690,3,5,367,305,3
691,10,8,262,263,8
692,4,2,399,170,4
693,9,1,273,274,1
694,5,7,282,286,7
695,4,6,382,233,4
696,3,10,399,90,3
697,2,8,156,160,8
698,5,4,270,271,4
699,3,9,388,383,3
700,10,6,142,229,10
701,1,2,229,129,1
702,8,7,241,242,7
703,6,5,205,204,5
704,4,9,357,167,4
705,1,8,357,55,1
706,10,7,181,179,7
707,9,5,401,200,5
708,3,2,286,253,3
709,1,4,326,83,1
710,8,6,279,282,6
711,3,7,293,291,3
712,2,10,179,339,2
713,9,8,171,172,9
714,7,4,244,247,4
715,3,6,306,307,3
716,2,5,244,337,2
717,1,10,410,250,1
718,1,9,397,327,1
719,3,4,215,212,3
720,1,3,240,241,3
721,2,9,282,283,9
722,5,10,286,205,5
723,7,6,156,158,6
724,4,8,428,326,4
725,3,1,199,201,1
726,9,10,322,223,9
727,2,6,364,227,2
728,8,5,344,345,5
729,7,1,272,273,1
730,4,3,311,177,4
731,6,9,245,248,9
732,5,1,191,192,1
733,7,2,284,215,7
734,8,3,209,215,3
735,10,4,245,207,10
736,9,7,288,139,9
737,6,1,256,261,1
738,3,5,367,305,3
739,10,8,262,263,8
740,4,2,399,170,4
741,9,1,273,274,1
742,5,7,282,286,7
743,4,6,382,233,4
744,3,10,399,90,3
745,2,8,156,160,8
746,5,4,270,271,4
747,3,9,388,383,3
748,10,6,142,229,10
749,1,2,229,129,1
750,8,7,241,242,7
751,6,5,205,204,5
752,4,9,357,167,4
753,1,8,357,55,1
754,10,7,181,179,7
755,9,5,401,200,5
756,3,2,286,253,3
757,1,4,326,83,1
758,8,6,279,282,6
759,3,7,293,291,3
760,2,10,179,339,2
761,9,8,171,172,9
762,7,4,244,247,4
763,3,6,306,307,3
764,2,5,244,337,2
765,1,10,410,250,1
766,1,9,397,327,1
767,3,4,215,212,3
768,1,3,240,241,3
769,2,9,282,283,9
770,5,10,286,205,5
771,7,6,156,158,6
772,4,8,428,326,4
773,3,1,199,201,1
774,9,10,322,223,9
775,2,6,364,227,2
776,8,5,344,345,5
777,7,1,272,273,1
778,4,3,311,177,4
779,6,9,245,248,9
780,5,1,191,192,1
781,7,2,284,215,7
782,8,3,209,215,3
783,10,4,245,207,10
784,9,7,288,139,9
785,6,1,256,261,1
786,3,5,367,305,3
787,10,8,262,263,8
788,4,2,399,170,4
789,9,1,273,274,1
790,5,7,282,286,7
791,4,6,382,233,4
792,3,10,399,90,3
793,2,8,156,160,8
794,5,4,270,271,4
795,3,9,388,383,3
796,10,6,142,229,10
797,1,2,229,129,1
798,8,7,241,242,7
799,6,5,205,204,5
800,4,9,357,167,4
801,1,8,357,55,1
802,10,7,181,179,7
803,9,5,401,200,5
804,3,2,286,253,3
805,1,4,326,83,1
806,8,6,279,282,6
807,3,7,293,291,3
808,2,10,179,339,2
809,9,8,171,172,9
810,7,4,244,247,4
811,3,6,306,307,3
812,2,5,244,337,2
813,1,10,410,250,1
814,1,9,397,327,1
815,3,4,215,212,3
816,1,3,240,241,3
817,2,9,282,283,9
818,5,10,286,205,5
819,7,6,156,158,6
820,4,8,428,326,4
821,3,1,199,201,1
822,9,10,322,223,9
823,2,6,364,227,2
824,8,5,344,345,5
825,7,1,272,273,1
826,4,3,311,177,4
827,6,9,245,248,9
828,5,1,191,192,1
829,7,2,284,215,7
830,8,3,209,215,3
831,10,4,245,207,10
832,9,7,288,139,9
833,6,1,256,261,1
